,Unnamed: 0,FID,Id,aspect,Mountain_G,NAME,lungime,latime,x_utm,y_utm,geologie_2,Shape_Leng,Shape_Area,lon,lat,epsg,RG_RW,x,y
0,0,60.0,53.0,3.0,Godeanu,Scarisoara1,119.0,334.0,321196.3539,420569.9649,1.0,833.3276283,32973.88475,22.7196930975425,45.2619805560028,3844,RG,321196.3547793365,420569.9650114679
1,1,61.0,54.0,1.0,Godeanu,Moraru1,126.0,321.0,318620.277,419582.0623,1.0,750.0674771,23916.71792,22.6872477480027,45.2524309209608,3844,RG,318620.27788087394,419582.0624117739
2,2,62.0,55.0,3.0,Godeanu,Moraru2,132.0,112.0,317961.2933,422280.7895,2.0,389.8788173,11398.59377,22.677860463418,45.2765324109786,3844,RG,317961.2941810549,422280.7896114828
3,3,63.0,56.0,3.0,Godeanu,Paltina,99.0,241.0,328190.2861,422456.3588,6.0,617.4034973,20750.85846,22.8081141256027,45.2807037582096,3844,RG,328190.2869752201,422456.3589107526
4,4,64.0,57.0,2.0,Godeanu,Galbena de Nord2,152.0,97.0,324969.9166,422055.9165,1.0,424.7146104,12048.98404,22.7672268666282,45.2763019552139,3844,RG,324969.9174770854,422055.9166110245
5,5,65.0,58.0,3.0,Godeanu,Borascu,151.0,323.0,323166.8954,424517.9144,2.0,777.2602764,35923.89015,22.7433737971558,45.2979920531443,3844,RG,323166.89627793,424517.9145108493
6,6,66.0,59.0,1.0,Godeanu,Borascu,184.0,132.0,324853.6332,424661.5831,6.0,552.4748621,20241.01155,22.7648191906417,45.2997097017967,3844,RG,324853.63407696434,424661.58321072184
7,7,67.0,60.0,6.0,Godeanu,Vlasia3,170.0,86.0,320972.3565,419472.7595,1.0,449.0366904,10672.16632,22.7172383958215,45.2520544903553,3844,RG,320972.3573795392,419472.75961162004
8,8,68.0,61.0,1.0,Godeanu, ,56.0,67.0,317814.8138,420177.6953,1.0,194.8349365,2614.708911,22.676771376117,45.2575785877731,3844,RG,317814.8146812933,420177.6954117606
9,9,69.0,62.0,3.0,Godeanu, ,470.0,213.0,324006.9253,424181.0274,2.0,1219.115454,66812.49093,22.7541998212263,45.2951742821203,3844,RG,324006.92617747595,424181.0275108369
10,10,160.0,63.0,2.0,Retezat,Judele,444.0,258.0,332219.9154,430713.7516,7.0,1171.377081,82005.01671,22.8566401782396,45.3559590763808,3844,RG,332219.91627234424,430713.75170946826
11,11,161.0,64.0,1.0,Retezat,Pietrele1,621.0,357.0,333394.0868,432331.7992,7.0,1809.680537,156657.2183,22.8710714873335,45.3707952210626,3844,RG,333394.0876715623,432331.79930918943
12,12,162.0,65.0,8.0,Retezat,Pietricele,101.0,230.0,334330.078,432292.7658,7.0,642.5685236,19708.14533,22.8830294209687,45.3706674001799,3844,RG,334330.07887103676,432292.7659091335
13,13,163.0,66.0,1.0,Retezat,Valea_Rea1,1459.0,411.0,335096.1659,432809.0731,7.0,3532.225945,409419.3901,22.8926325016773,45.3754934590036,3844,RG,335096.16677056695,432809.07320900966
14,14,164.0,67.0,8.0,Retezat,Stirbu1,280.0,248.0,332117.7669,431295.7302,7.0,1043.15793,61233.19652,22.8551380287409,45.3611693392651,3844,RG,332117.7677723657,431295.7303094078
15,15,165.0,68.0,8.0,Retezat,Vf_Mare,150.0,1488.0,338548.2991,433912.1907,7.0,3366.155309,206734.984,22.9363290035472,45.3862252998584,3844,RG,338548.2999685296,433912.19080864574
16,16,166.0,69.0,7.0,Retezat,Valea_Rea3,132.0,749.0,335508.6247,434055.1837,7.0,1798.305875,83425.69064,22.8974788617875,45.3867999305984,3844,RG,335508.62557024625,434055.18380883173
17,17,167.0,70.0,8.0,Retezat,Valea_Rea2,157.0,339.0,336057.7589,432514.4589,7.0,846.2927897,38240.08179,22.9050035446365,45.3730704147062,3844,RG,336057.75977004145,432514.4590089774
18,18,168.0,71.0,3.0,Retezat,Tau_Tapului,188.0,427.0,337622.8181,432164.2666,7.0,1075.513059,53723.69128,22.9250932744088,45.3702870408045,3844,RG,337622.8189691733,432164.2667089122
19,19,169.0,72.0,8.0,Retezat,Tau_Rasucit2,190.0,449.0,332018.9187,429208.0735,7.0,1103.818954,59327.78463,22.8545905949278,45.3423671373113,3844,RG,332018.9195725691,429208.0736096698
20,20,170.0,73.0,1.0,Retezat,Tau_Rasucit1,216.0,792.0,331511.1107,428996.7161,7.0,1900.715219,101171.5208,22.8481859584561,45.3403434147748,3844,RG,331511.11157287227,428996.71620971954
21,21,171.0,74.0,1.0,Retezat,Tau_Negru,299.0,283.0,330406.2813,430892.8435,7.0,1060.94374,68739.37695,22.8334400249194,45.3571308707039,3844,RG,330406.28217336314,430892.84360957175
22,22,172.0,75.0,7.0,Retezat,Tau_Ascuns,128.0,220.0,332404.2999,430021.5838,7.0,625.2136945,19916.11322,22.8592287087911,45.3497774242644,3844,RG,332404.30077229114,430021.5839095381
23,23,173.0,76.0,6.0,Retezat,Stirbu2,124.0,317.0,332269.6911,431716.6301,7.0,857.4279746,32695.67645,22.8569327051492,45.3649919123794,3844,RG,332269.6919722428,431716.6302093416
24,24,174.0,77.0,7.0,Retezat,Stevia,89.0,463.0,331549.1759,434213.0492,7.0,1058.080745,39885.17488,22.8468820005597,45.3872730870125,3844,RG,331549.17677247524,434213.04930908646
25,25,175.0,78.0,7.0,Retezat,Stanisoara2,154.0,651.0,333026.4673,434255.6138,7.0,1472.241121,88501.05888,22.8657254713886,45.3880118620021,3844,RG,333026.46817163605,434255.6139089778
26,26,176.0,79.0,7.0,Retezat,Stanisoara1,229.0,1035.0,333051.0115,433489.4116,7.0,2434.832657,142359.7972,22.8662995304164,45.381125774575,3844,RG,333051.01237167453,433489.411709064
27,27,177.0,80.0,6.0,Retezat,Slaveiu3,143.0,238.0,333230.6864,429281.8725,7.0,805.5493176,28923.19749,22.8700217819315,45.3433219715664,3844,RG,333230.6872718757,429281.87260957435
28,28,178.0,81.0,7.0,Retezat,Slaveiu2,100.0,576.0,333713.0036,428748.3428,7.0,1346.066566,49559.24073,22.8763544152723,45.3386380882901,3844,RG,333713.0044716343,428748.3429096036
29,29,179.0,82.0,4.0,Retezat,Slaveiu1,148.0,280.0,333234.462,428970.3807,7.0,764.9382646,33322.80951,22.8701756286468,45.3405209969312,3844,RG,333234.46287189506,428970.3808096046
30,30,180.0,83.0,1.0,Retezat,Rades,195.0,159.0,328068.7463,430456.7682,7.0,616.6193019,25001.99236,22.8037702177815,45.352635564835,3844,RG,328068.7471747238,430456.7683097854
31,31,181.0,84.0,7.0,Retezat,Pietrele4,264.0,867.0,334331.3587,434306.1391,7.0,2020.052881,172802.0586,22.8823659980946,45.3887781136904,3844,RG,334331.3595708958,434306.1392088831
32,32,182.0,85.0,8.0,Retezat,Pietrele3,231.0,528.0,334152.7629,433557.4435,7.0,1372.110432,81300.94585,22.8803392153482,45.3820010373168,3844,RG,334152.7637710493,433557.4436089804
33,33,183.0,86.0,1.0,Retezat,Pietrele2,323.0,139.0,333746.5587,432196.1651,7.0,898.7627619,35072.87705,22.875615520473,45.369659419728,3844,RG,333746.5595713702,432196.1652091865
34,34,184.0,87.0,2.0,Retezat,Peleguta2,107.0,294.0,335317.8136,430616.9091,7.0,832.2471557,29808.5689,22.8961966145404,45.3558271227263,3844,RG,335317.81447059487,430616.9092092643
35,35,185.0,88.0,3.0,Retezat,Peleguta1,296.0,636.0,335566.8467,430135.4704,7.0,1579.756762,135136.4805,22.899535015472,45.3515553302601,3844,RG,335566.84757048544,430135.4705093
36,36,186.0,89.0,3.0,Retezat,Papusa_Mica,350.0,175.0,337098.3883,431881.1688,7.0,896.4552982,47318.40285,22.9184945803615,45.367618040847,3844,RG,337098.38916949136,431881.16890898516
37,37,187.0,90.0,5.0,Retezat,MA2,149.0,183.0,331494.5143,429743.388,7.0,588.1318142,25193.58532,22.8477182767843,45.3470556639569,3844,RG,331494.51517282554,429743.38810963265
38,38,188.0,91.0,6.0,Retezat,MA1,296.0,129.0,331723.0668,429783.6632,7.0,780.4118299,32307.54289,22.850619913492,45.3474731640118,3844,RG,331723.0676726934,429783.66330961825
39,39,189.0,92.0,2.0,Retezat,Lapusnic3,483.0,259.0,333831.4521,429744.837,7.0,1218.887789,71938.21966,22.8775282317266,45.347629864107,3844,RG,333831.4529715029,429744.83710946405
