,x,y
0,411893.01773400913,6736516.925488342
1,423884.6528860142,6727532.256250586
2,419863.28883201856,6705831.381761006
3,418812.66218728095,6720829.98282726
4,429717.4421895575,6716917.304288237
5,432144.75202395127,6722750.09359178
6,434680.7473733179,6732676.703959301
7,424138.25242095086,6739994.861967473
8,415733.23926305,6726155.57306093
9,410914.84809925343,6716482.562228345
10,409791.7644445339,6705324.182691133
11,435695.1455130645,6699201.565347661
12,436311.0300979107,6710686.001429793
13,422834.0262412766,6698694.366277788
14,418160.5490974438,6715685.5351185445
15,423993.3384009871,6734125.844158939
16,438376.05488239496,6740791.889077274
17,401495.436801606,6743436.569941614
18,404176.34617093636,6740683.203562302
19,418921.3477022538,6718366.444487875
20,406103.1925164183,6726622.408653713
21,402642.19723206706,6713050.64062856
22,429785.73328237253,6705428.673485494
23,431730.11265560356,6730627.830162569
24,431224.5740185635,6742021.893289703
25,440868.6957097895,6722111.4485078165
26,441490.8971092234,6719155.991860506
27,440868.6957097895,6702317.666488325
28,413336.2837848378,6699051.109141297
29,405014.3400674089,6733272.186110163
30,419208.3094919956,6741088.591190552
